event_date,year,sub_event_type,assoc_actor_1,actor2,country,admin1,admin2,admin3,location,latitude,longitude,notes,fatalities,tags,population_best,Topic,final_estimate
2024-05-14,2024,Peaceful protest,Students (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 14 may 2024, at the call of the cep hes - hes student coordination for palestine (coordination etudiante pour la palestine-hes), around 100 students blocked access to the hepia campus in geneva (geneve) to express solidarity with the palestinian people, condemn what they deemed an israeli 'genocide' of gazans, and demand swiss universities to stop cooperating with israeli universities. the protest started after the end of uni mail's occupation by students earlier on the same day. police officers intervened and convinced the protesters to leave the site.",0,crowd size=around 100,53174,Palestine,100
2024-05-14,2024,Peaceful protest,Students (Switzerland),NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 14 may 2024, as part of an ongoing demonstration, dozens of students blocked the access to university campus in bern (bern) to express solidarity with the palestinian people, condemn what they deemed an israeli 'genocide' of gazans, and demand swiss universities to stop cooperating with israeli universities.",0,crowd size=74,7469,Palestine,74
2024-05-13,2024,Peaceful protest,Students (Switzerland),NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 13 may 2024, around 60 students blocked access to the university of bern in bern (bern) to express solidarity with the palestinian people, condemn what they deemed an israeli 'genocide' of gazans, and call on swiss universities to stop cooperating with israeli universities.",0,crowd size=around 60,7469,Palestine,60
2024-05-13,2024,Peaceful protest,Students (Switzerland),NA,Switzerland,Basel-Stadt,Basel-Stadt,NA,Basel,47.5596,7.5886,"on 13 may 2024, students blocked access to the university of basel in basel (basel-stadt) to express solidarity with the palestinian people, condemn what they deemed an israeli 'genocide' of gazans, and call on swiss universities to stop cooperating with israeli universities.",0,NA,16171,Palestine,NA
2024-05-13,2024,Peaceful protest,Students (Switzerland),NA,Switzerland,Fribourg,Sarine,NA,Fribourg,46.8065,7.162,"on 13 may 2024, around 100 students blocked access to the university of fribourg in fribourg (fribourg) to express solidarity with the palestinian people, condemn what they deemed an israeli 'genocide' of gazans, and call on swiss universities to stop cooperating with israeli universities.",0,crowd size=around 100,7109,Palestine,100
2024-05-13,2024,Peaceful protest,Students (Switzerland),NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 13 may 2024, as part of an ongoing demonstration, dozens of students blocked the access to university campus in bern (bern) to express solidarity with the palestinian people, condemn what they deemed an israeli 'genocide' of gazans, and demand swiss universities to stop cooperating with israeli universities.",0,crowd size=74,7469,Palestine,74
2024-05-12,2024,Peaceful protest,Students (Switzerland),NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 12 may 2024, dozens of students blocked the access to university campus in bern (bern) to express solidarity with the palestinian people, condemn what they deemed an israeli 'genocide' of gazans, and demand swiss universities to stop cooperating with israeli universities.",0,crowd size=74,7469,Palestine,74
2024-05-09,2024,Protest with intervention,Renovate Switzerland,Police Forces of Switzerland (2023-),Switzerland,Uri,Uri,NA,Wassen,46.7064,8.5995,"on 9 may 2024, around 10 renovate switzerland activists staged a blockade on the a2 motorway lane leading to the gotthard tunnel in wassen (uri), calling on the swiss government to ban the sale of new cars powered by fossil fuels from 2025 and to invest 'massively' in non-polluting forms of mobility and public transport. some activists stuck themselves to the road before being removed by police officers.",0,crowd size=around 10,136,Climate,10
2024-05-07,2024,Peaceful protest,Cambodian Group (Switzerland); Khmer Group (Switzerland); Protesters (International); Thai Group (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 7 may 2024, several hundred people, including members of the thai, cambodian, and khmer krom communities, gathered outside the united nations (un) headquarters in geneva (geneve) to denounce the repression of human rights activists in thailand and call for sanctions against thai authorities.",0,crowd size=300,53174,International,300
2024-05-07,2024,Peaceful protest,Students (Switzerland),NA,Switzerland,Vaud,Ouest Lausannois,NA,Ecublens (Vaud),46.5259,6.5619,"on 7 may 2024, epfl students blocked access to their campus in ecublens (vaud) (vaud) to express solidarity with the palestinian people, condemn what they deemed an israeli 'genocide' of gazans, and call on swiss universities to stop cooperating with israeli universities.",0,NA,3181,Palestine,NA
2024-05-07,2024,Peaceful protest,Students (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 7 may 2024, at the call of cep - student coordination for palestine (coordination etudiante palestine), more than 100 students blocked access to the uni-mail campus in geneva (geneve) to express solidarity with the palestinian people, condemn what they deemed an israeli 'genocide' of gazans, and call on swiss universities to stop cooperating with israeli universities",0,crowd size=more than 100,53174,Palestine,100
2024-05-07,2024,Protest with intervention,Students (Switzerland),Police Forces of Switzerland (2023-),Switzerland,Zurich,Zurich,NA,Zurich,47.3769,8.5417,"on 7 may 2024, ethz students blocked access to their university campus in zurich (zurich) to express solidarity with the palestinian people, condemn their fate in the gaza strip, and call on swiss universities to stop cooperating with israeli universities. police intervened to put an end to the action and arrested around 30 people.",0,NA,35782,Palestine,NA
2024-05-04,2024,Peaceful protest,Students (Switzerland),NA,Switzerland,Vaud,Lausanne,NA,Lausanne,46.5197,6.6323,"on 4 may 2024, several hundred students gathered inside the university campus in lausanne (vaud) to express solidarity with the palestinian people, condemn what they deemed an israeli 'genocide' of gazans, and call on swiss universities to stop cooperating with israeli universities.",0,crowd size=300,42825,Palestine,300
2024-05-02,2024,Peaceful protest,Students (Switzerland),NA,Switzerland,Vaud,Lausanne,NA,Lausanne,46.5197,6.6323,"on 2 may 2024, around 100 students blocked access to the university campus in lausanne (vaud) to express solidarity with the palestinian people, condemn what they deemed an israeli 'genocide' of gazans, and demand swiss universities to stop cooperating with israeli universities.",0,crowd size=around 100,42825,Palestine,100
2024-05-01,2024,Peaceful protest,Labor Group (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 1 may 2024, 2,500 people demonstrated in geneva (geneve). the event took place on the occasion of international worker's day to demand an increase in wages.",0,crowd size=2500,53174,Workers,2500
2024-05-01,2024,Protest with intervention,Labor Group (Switzerland),Police Forces of Switzerland (2023-),Switzerland,Zurich,Zurich,NA,Zurich,47.3769,8.5417,"on 1 may 2024, around 10,000 people demonstrated in zurich (switzerland). the event was part of a nationwide wave of demonstrations on the occasion of international worker's day to demand an increase in wages as well as peace in the world, notably in palestine and ukraine. police intervened to disperse an unauthorized gathering of far-left affiliates taking place next to the main demonstration.",0,crowd size=around 10000,35782,Palestine,10000
2024-04-29,2024,Peaceful protest,NA,NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 29 april 2024, at the call of animalfree research, the swiss anti-vivisection league (la ligue suisse contre la vivisection), swiss association for the abolition of vivisection (associazione svizzera per l'abolizione della vivisezione), and animal in law and animal welfare zurich (tier im recht and tierschutz zurich), animal rights activists staged a demonstration on the terrace of the federal palace in bern (bern), to protest against animal experimentation in switzerland.",0,NA,7469,Animal,NA
2024-04-28,2024,Peaceful protest,NA,NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 28 april 2024, at the call of the mass-voll movement, hundreds of people staged a demonstration in bern (bern), to protest against the world health organization's project on pandemics, claiming it represents 'a threat to swiss sovereignty'.",0,crowd size=500,7469,Corona,500
2024-04-26,2024,Peaceful protest,NA,NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 26 april 2024, around 50 climate activists, including swiss climate alliance affiliates, gathered outside the swiss national bank's shareholder meeting in bern (bern) against the bank's investments in companies they claimed damaged the environment and were involved in fracking.",0,crowd size=around 50,7469,Climate,50
2024-04-19,2024,Peaceful protest,Climate Strike,NA,Switzerland,Aargau,Aarau,NA,Aarau,47.3924,8.0441,"on 19 april 2024, at the call of climate strike, people demonstrated in aarau (aargau) to protest against fossil fuel extraction and demand more investment in green energy.",0,NA,7196,Climate,NA
2024-04-19,2024,Peaceful protest,Climate Strike,NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 19 april 2024, at the call of climate strike, around 1,200 people demonstrated in bern (bern) to protest against fossil fuel extraction and demand more investment in green energy.",0,crowd size=around 1200,7469,Climate,1200
2024-04-19,2024,Peaceful protest,Climate Strike,NA,Switzerland,Valais,Sion,NA,Sion,46.2312,7.3593,"on 19 april 2024, at the call of climate strike, people demonstrated in sion (valais) to protest against fossil fuel extraction and demand more investment in green energy.",0,NA,5591,Climate,NA
2024-04-19,2024,Peaceful protest,Climate Strike,NA,Switzerland,Zurich,Zurich,NA,Zurich,47.3769,8.5417,"on 19 april 2024, at the call of climate strike, around 600 people demonstrated in zurich (zurich) to protest against fossil fuel extraction and demand more investment in green energy.",0,crowd size=around 600,35782,Climate,600
2024-04-19,2024,Peaceful protest,Climate Strike,NA,Switzerland,Luzern,Luzern-Stadt,NA,Lucerne,47.0502,8.3084,"on 19 april 2024, at the call of climate strike, around 60 people biked in lucerne (luzern) to protest against fossil fuel extraction and demand more investment in green energy.",0,crowd size=around 60,6996,Climate,60
2024-04-13,2024,Peaceful protest,LGBTQ+ (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 13 april 2024, 600 people, including craq - radical queer action collective (collectif radical d'action queer) affiliates, gathered in geneva (geneve) against transphobia and to denounce far-right attacks on trans and non-binary people.",0,crowd size=600,53174,LGBTQ+,600
2024-04-07,2024,Peaceful protest,NA,NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 7 april 2024, more than 200 people demonstrated in geneva (geneve) to express solidarity with the palestinian people, call for a ceasefire between hamas and israel, and condemn the israeli military offensive in gaza. they also urged the swiss government to stop supporting israel.",0,crowd size=more than 200,53174,Palestine,200
2024-04-07,2024,Peaceful protest,Farmers (Switzerland),NA,Switzerland,Vaud,Lausanne,NA,Lausanne,46.5197,6.6323,"on 7 april 2024, around 10 farmers gathered outside the vaud government building and placed dead sheep outside the building in lausanne (vaud) to demand better regulation of the wolf population in the region.",0,crowd size=around 10,42825,Farming,10
2024-04-06,2024,Peaceful protest,AI: Amnesty International; Jewish Group (Switzerland),NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 6 april 2024, at the call of ai, gsoa -the group for a switzerland without an army, jvjp - jewish voice for democracy and justice in israel/palestine (jvjp), and pss - palestine solidarity switzerland (pss), more than 1,000 people demonstrated in bern (bern) to express solidarity with the palestinian people, call for a ceasefire between hamas and israel, and condemn the israeli military offensive on gaza. they also urged the swiss government to stop supporting israel.",0,crowd size=more than 1000,7469,Israel,1000
2024-04-01,2024,Peaceful protest,NA,NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 1 april 2024, nearly 500 people gathered in bern (bern), calling for the demilitarization of switzerland.",0,crowd size=nearly 500,7469,Other,500
2024-03-30,2024,Peaceful protest,"BDS: Boycott, Divestment and Sanctions",NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 30 march 2024, at the call of bds, around 1,000 people gathered in geneva (geneve) to call for a ceasefire between israel and hamas, express solidarity with palestine, and condemn switzerland's complicity with israel's military operation.",0,crowd size=around 1000,53174,Palestine,1000
2024-03-26,2024,Peaceful protest,Greenpeace,NA,Switzerland,Zurich,Zurich,NA,Zurich,47.3769,8.5417,"on 26 march 2024, greenpeace affiliates gathered inside the train station in zurich (zurich) to protest against dove's usage of single-use plastic in their products.",0,NA,35782,Climate,NA
2024-03-24,2024,Peaceful protest,Palestinian Group (Switzerland),NA,Switzerland,Vaud,Lausanne,NA,Lausanne,46.5197,6.6323,"on 24 march 2024, at the call of fsp - switzerland-palestine federation (federation suisse-palestine), around 2,000 people demonstrated in lausanne (vaud) to express solidarity with the palestinian people, condemn the israeli military offensive on gaza, and call for an immediate ceasefire in gaza.",0,crowd size=around 2000,42825,Palestine,2000
2024-03-23,2024,Peaceful protest,NA,NA,Switzerland,Zurich,Zurich,NA,Zurich,47.3769,8.5417,"on 23 march 2024, at the call of several organizations, 1,200 people demonstrated in zurich (zurich) to demand affordable housing in switzerland.",0,crowd size=1200,35782,Housing,1200
2024-03-23,2024,Peaceful protest,NA,NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 23 march 2024, 1,200 people demonstrated in geneva (geneve) to demand decent and affordable housing for everyone.",0,crowd size=1200,53174,Housing,1200
2024-03-23,2024,Peaceful protest,Climate Strike; Green Party of Switzerland; Labor Group (Switzerland); PS/SP: Swiss Socialist Party - Social Democratic Party of Switzerland; Solidarity (Switzerland); Students (Switzerland); Swiss Party of Labor; Unia; WWF: World Wildlife Fund,NA,Switzerland,Neuchatel,Neuchatel,NA,Chaux-de-Fonds,47.1024,6.8328,"on 23 march 2024, at the call of climate strike, unia, the swiss party of labor, ps/sp, the green party of switzerland, solidarity, wwf, uniterre, the libertarian federation of mountains (federation libertaire des montagnes), and sustainable student actions (actions etudiantes durables), around 200 people demonstrated in chaux-de-fonds (neuchatel) to demand more climate action from governments.",0,crowd size=around 200,19285,Climate,200
2024-03-17,2024,Peaceful protest,Russian Group (Switzerland),NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 17 march 2024, at the call of the future russia - switzerland association, hundreds of members of the local russian community staged a 'noon against putin' action on the road near the russian embassy in bern (bern) to denounce electoral fraud in russia and condemn vladimir putin's actions.",0,crowd size=500,7469,International,500
2024-03-17,2024,Peaceful protest,Russian Group (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 17 march 2024, around 400 members of the local russian community, including affiliates of the future russia - switzerland association, staged a 'noon against putin' action outside the permanent mission of the russian federation to the un in geneva (geneve) to denounce electoral fraud in russia and condemn vladimir putin's actions.",0,crowd size=around 400,53174,International,400
2024-03-16,2024,Peaceful protest,"BDS: Boycott, Divestment and Sanctions",NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 16 march 2024, nearly 2,500 people, including bds affiliates, gathered in geneva (geneve) to express solidarity with the palestinian people, call for a ceasefire between israel and hamas, and condemn the israeli offensive in gaza.",0,crowd size=nearly 2500,53174,Palestine,2500
2024-03-09,2024,Peaceful protest,Women (Switzerland),NA,Switzerland,Zurich,Zurich,NA,Zurich,47.3769,8.5417,"on 9 march 2024, the day after international women's day, nearly 1,000 people gathered in zurich (zurich) to demonstrate against patriarchy and capitalism.",0,crowd size=nearly 1000,35782,Feminist,1000
2024-03-08,2024,Peaceful protest,Women (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 8 march 2024, on the occasion of international women's day, at the call of the feminist strike (greve feministe) collective, nearly 1,500 people, including afro-swiss association affiliates, gathered in geneva (geneve) to demonstrate in favor of women's rights and equal pay, and express solidarity with palestinian women amid the israel-hamas war.",0,crowd size=nearly 1500,53174,Feminist,1500
2024-03-05,2024,Peaceful protest,Labor Group (Switzerland); Unia,NA,Switzerland,Vaud,Jura-Nord vaudois,NA,Yverdon,46.7793,6.6411,"on 5 march 2024, at the call of unia, micarna employees demonstrated in yverdon (vaud) to protest against the ecublens factory's closure and the release of all employees.",0,NA,16492,Workers,NA
2024-03-05,2024,Peaceful protest,Labor Group (Switzerland); Unia,NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 5 march 2024, at the call of unia, micarna employees demonstrated in geneva (geneve) to protest against the ecublens factory's closure and the release of all employees.",0,NA,53174,Workers,NA
2024-03-05,2024,Peaceful protest,Labor Group (Switzerland); Unia,NA,Switzerland,Neuchatel,Neuchatel,NA,Neuchatel,46.99,6.9293,"on 5 march 2024, at the call of unia, micarna employees demonstrated in neuchatel (neuchatel) to protest against the ecublens factory's closure and the release of all employees.",0,NA,6328,Workers,NA
2024-03-05,2024,Peaceful protest,Labor Group (Switzerland); Unia,NA,Switzerland,Vaud,Riviera-Pays-d'Enhaut,NA,Vevey,46.46,6.8419,"on 5 march 2024, at the call of unia, micarna employees demonstrated in vevey (vaud) to protest against the ecublens factory's closure and the release of all employees.",0,NA,9551,Workers,NA
2024-03-05,2024,Peaceful protest,Labor Group (Switzerland); Unia,NA,Switzerland,Vaud,Lausanne,NA,Lausanne,46.5197,6.6323,"on 5 march 2024, at the call of unia, around 30 micarna employees demonstrated in lausanne (vaud) to protest against the ecublens factory's closure and the release of all employees.",0,crowd size=around 30,42825,Workers,30
2024-03-05,2024,Peaceful protest,Labor Group (Switzerland); Unia,NA,Switzerland,Vaud,Ouest Lausannois,NA,Renens,46.5348,6.5927,"on 5 march 2024, at the call of unia, micarna employees demonstrated in renens (vaud) to protest against the ecublens factory's closure and the release of all employees.",0,NA,20065,Workers,NA
2024-03-02,2024,Peaceful protest,Congolese Group (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 2 march 2024, at the call of several organizations, around 600 members of the congolese community demonstrated in geneva (geneve) to raise awareness about the humanitarian situation in eastern drc and protest against the lack of international aid.",0,crowd size=around 600,53174,International,600
2024-02-29,2024,Peaceful protest,Labor Group (Switzerland); SSP: Swiss Union of Public Service Personnel,NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 29 february 2024, at the call of ssp/vpod, sit - interprofessional workers' union (syndicat interprofessionnel de travailleuses et travailleurs), and the swiss romand spectacle union (syndicat suisse romand du spectacle), around 80 striking grand theatre employees gathered for a picket line in geneva (geneve) to protest against the lack of communication around a planned personnel reform.",0,crowd size=around 80,53174,Workers,80
2024-02-29,2024,Peaceful protest,Farmers (Switzerland),NA,Switzerland,St. Gallen,St. Gallen,NA,Gossau,47.4155,9.2548,"on 29 february 2024, farmers gathered on a piece of farmland on their tractors in gossau (st. gallen) to demand fairer compensation for farmers.",0,NA,6024,Farming,NA
2024-02-29,2024,Peaceful protest,Farmers (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Perly-Certoux,46.1569,6.0922,"on 29 february 2024, farmers gathered on a piece of farmland on their tractors in perly-certoux (geneve) to demand fairer compensation for farmers.",0,NA,2029,Farming,NA
2024-02-29,2024,Peaceful protest,Farmers (Switzerland),NA,Switzerland,Bern,Jura bernois,NA,Reconvilier,47.2343,7.2223,"on 29 february 2024, farmers gathered on a piece of farmland on their tractors in reconvilier (bern) to demand fairer compensation for farmers.",0,NA,1670,Farming,NA
2024-02-29,2024,Peaceful protest,Farmers (Switzerland),NA,Switzerland,Jura,Franches-Montagnes,NA,Saignelegier,47.256100000000004,6.9964,"on 29 february 2024, farmers gathered on a piece of farmland on their tractors in saignelegier (jura) to demand fairer compensation for farmers.",0,NA,2160,Farming,NA
2024-02-29,2024,Peaceful protest,Farmers (Switzerland),NA,Switzerland,Fribourg,Broye,NA,Vallon,46.8827,6.9519,"on 29 february 2024, farmers gathered on a piece of farmland on their tractors in vallon (fribourg) to demand fairer compensation for farmers.",0,NA,314,Farming,NA
2024-02-29,2024,Peaceful protest,Farmers (Switzerland),NA,Switzerland,Fribourg,Gruyere,NA,Vaulruz,46.6216,6.9882,"on 29 february 2024, farmers gathered on a piece of farmland on their tractors in vaulruz (fribourg) to demand fairer compensation for farmers.",0,NA,827,Farming,NA
2024-02-29,2024,Peaceful protest,Farmers (Switzerland),NA,Switzerland,Fribourg,Glane,NA,Villaz-St-Pierre,46.7207,6.9571,"on 29 february 2024, farmers gathered on a piece of farmland on their tractors in villaz-st-pierre (fribourg) to demand fairer compensation for farmers.",0,NA,956,Farming,NA
2024-02-29,2024,Peaceful protest,Farmers (Switzerland); Government of Switzerland (2023-); SVP/UDC/PPS: Swiss People's Party,NA,Switzerland,Vaud,Gros-de-Vaud,NA,Echallens,46.6382,6.6349,"on 29 february 2024, around 300 farmers and national councilor jacques nicolet (udc) gathered on a piece of farmland on their tractors in echallens (geneve) to demand fairer compensation for farmers.",0,crowd size=around 300,5701,Farming,300
2024-02-29,2024,Peaceful protest,Labor Group (Switzerland); Teachers (Switzerland),NA,Switzerland,Ticino,Bellinzona,NA,Bellinzona,46.1969,9.0225,"on 29 february 2024, around 6,000 civil servants, including teachers, demonstrated in bellinzona (ticino) to demand a pay rise and protest against decreasing government spending in education.",0,crowd size=around 6000,8619,Workers,6000
2024-02-29,2024,Peaceful protest,Labor Group (Switzerland),NA,Switzerland,Vaud,Ouest Lausannois,NA,Ecublens (Vaud),46.5259,6.5619,"on 29 february 2024, striking micarna employees gathered for a picket line outside their factory in ecublens (vaud) to protest against its closure and the release of all employees.",0,NA,3181,Workers,NA
2024-02-24,2024,Peaceful protest,Government of Ukraine (2019-); Protesters (Ukraine); Ukrainian Group (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 24 february 2024, over 500 people, including members of the ukrainian community and the permanent representative of ukraine to the united nations office in geneva, gathered in geneva (geneve) to protest against russia's war efforts and show solidarity with ukraine, on the two-year anniversary of the russian invasion of ukraine.",0,crowd size=over 500,53174,Ukraine,500
2024-02-24,2024,Peaceful protest,Antifa,NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 24 february 2024, at the call of a local antifa collective and the catfish (le silure) collective, around 100 people gathered in front of the hotel de police in geneva (geneve), calling on the government to set up an independent commission of inquiry to shed light on the deaths of two young people in police custody.",0,crowd size=around 100,53174,Police,100
2024-02-19,2024,Peaceful protest,Labor Group (Switzerland); Women (Switzerland),NA,Switzerland,Vaud,Jura-Nord vaudois,NA,Yverdon,46.7793,6.6411,"on 19 february 2024, at the call of feminist strike (greve feministe), women gathered in yverdon (vaud) to protest against the visit of minister of the interior elisabeth baume-schneider (svp/udc/pps), and demand an increase in pensions.",0,NA,16492,Feminist,NA
2024-02-17,2024,Protest with intervention,Eritrean Group (Switzerland); Rioters (International),Police Forces of Switzerland (2023-),Switzerland,Fribourg,Sarine,NA,Villars-sur-Glane,46.7912,7.1162,"on 17 february 2024, around 200 members of the eritrean community gathered outside a building where people were having dinner in villars-sur-glane (fribourg) to demonstrate against the event, which they claimed was organized by the eritrean government. police used tear gas to keep the demonstrators from entering the building and dispersed the crowd.",0,crowd size=around 200,3177,International,200
2024-02-16,2024,Peaceful protest,NA,NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 16 february 2024, at the call of the russia of the future (russie du futur) association, around 50 people gathered in geneva (geneve) to pay tribute to alexei navalny following news of his death, condemning vladimir putin's rule.",0,crowd size=around 50,53174,International,50
2024-02-16,2024,Peaceful protest,NA,NA,Switzerland,Zurich,Zurich,NA,Zurich,47.3769,8.5417,"on 16 february 2024, at the call of the russia of the future (russie du futur) association, around 300 people gathered in zurich (zurich) to pay tribute to alexei navalny following news of his death, condemning vladimir putin's rule.",0,crowd size=around 300,35782,International,300
2024-02-09,2024,Peaceful protest,NA,NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 9 february 2024, at the call of urban response (riposte urbaine), more than 200 people demonstrated in geneva (geneve) to demand decent housing for homeless people.",0,crowd size=more than 200,53174,Housing,200
2024-02-08,2024,Peaceful protest,PS/SP: Swiss Socialist Party - Social Democratic Party of Switzerland,NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 8 february 2024, around 80 youths from the ps/sp gathered outside the federal chancellery in bern (bern) to call for higher inheritance taxes for very wealthy households to finance environmental protection. the event took place as the party was presenting the signatures for a popular votation on the matter.",0,crowd size=around 80,7469,Climate,80
2024-02-05,2024,Peaceful protest,Teachers (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 5 february 2024, striking teachers gathered for a picket line in geneva (geneve) to protest against planned increases in teaching hours.",0,NA,53174,Workers,NA
2024-02-03,2024,Peaceful protest,LFI: France Rebellious; Protesters (France),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 3 february 2024, between 2,500 and 3,000 people, including lfi leader jean-luc melenchon, demonstrated in geneva (geneve) to express solidarity with the palestinian people, call for a ceasefire between israel and hamas, and condemn the israeli military offensive in the gaza strip.",0,crowd size=between 2500 and 3000,53174,Palestine,2750
2024-02-03,2024,Peaceful protest,NA,NA,Switzerland,Zurich,Zurich,NA,Zurich,47.3769,8.5417,"on 3 february 2024, at the call of several organizations, several hundred people gathered in zurich (zurich) to protest against far-right extremism and in support of democracy.",0,NA,35782,Other,NA
2024-02-03,2024,Peaceful protest,Farmers (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 3 february 2024, at the call of uniterre, farmers drove at a slow pace in geneva (geneve) to protest against the high-profit margins made by large retailers and demand fairer remuneration for farmers.",0,crowd size=around 200,53174,Farming,200
2024-02-01,2024,Peaceful protest,Teachers (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 1 february 2024, at the call of famco - federation of associations of co teachers (federation des associations des maitres du co), more than 1,000 teachers gathered in geneva (geneve) to protest against the government's plans to add more teaching hours to their schedules.",0,crowd size=more than 1000,53174,Workers,1000
2024-01-25,2024,Peaceful protest,NA,NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 25 january 2024, dozens of people with physical disabilities gathered outside the headquarters of cff/sbb/ffs in bern (bern) to call for speedier implementation of the law guaranteeing them equal access to public transport.",0,crowd size=74,7469,Other,74
2024-01-20,2024,Peaceful protest,Labor Group (Switzerland),NA,Switzerland,Ticino,Bellinzona,NA,Bellinzona,46.1969,9.0225,"on 20 january 2024, at the call of several unspecified trade unions and left parties, around 5,000 people took to the streets of bellinzona (ticino) to protest against the ticino government's austerity measures, notably wage cuts for public servants of the canton.",0,crowd size=around 5000,8619,Workers,5000
2024-01-20,2024,Peaceful protest,Government of Switzerland (2023-); PS/SP: Swiss Socialist Party - Social Democratic Party of Switzerland; Syrian Group (Switzerland); Women (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 20 january 2024, 12 people, including members of the syrian women for democracy collective and national councilor christian dandres (ps), gathered in front of the headquarters of the office of the high commissioner for human rights in geneva (geneve) to denounce the detentions, enforced disappearances and torture to syrian, lebanese and palestinian detainees carried out by the syrian regime.",0,crowd size=12,53174,Palestine,12
2024-01-20,2024,Peaceful protest,NA,NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 20 january 2024, 2,200 people gathered in geneva (geneve) to call for an immediate ceasefire between hamas and israel, condemn the israeli military campaign in gaza, and express solidarity with the palestinian people.",0,crowd size=2200,53174,Palestine,2200
2024-01-16,2024,Peaceful protest,NA,NA,Switzerland,St. Gallen,St. Gallen,NA,St. Gallen,47.4244,9.3782,"on 16 january 2024, at the call of debt for climate, 12 people gathered outside the airport in st. gallen (st. gallen) to protest against the world economic forum and its lack of action against climate change.",0,crowd size=12,11641,Climate,12
2024-01-14,2024,Peaceful protest,NA,NA,Switzerland,Graubunden,Prattigau,NA,Davos,46.7935,9.8218,"on 14 january 2024, around 300 climate activists blocked a road and disrupted traffic in davos (graubunden) to demand social and climate justice. the event was part of a symbolic protest march to the world economic forum in davos.",0,crowd size=around 300,3197,Climate,300
2024-01-13,2024,Peaceful protest,NA,NA,Switzerland,Basel-Stadt,Basel-Stadt,NA,Basel,47.5596,7.5886,"on 13 january 2024, at the call of the switzerland palestine federation (federation suisse palestine), around 3,000 people demonstrated in basel (basel-stadt) to call for an immediate ceasefire between hamas and israel, condemning what they saw as a 'genocide' of the gaza population, and expressing solidarity with the palestinian people.",0,crowd size=around 3000,16171,Palestine,3000
2024-01-13,2024,Peaceful protest,NA,NA,Switzerland,Graubunden,Prattigau,NA,Kublis,46.9145,9.7732,"on 13 january 2024, climate activists took part in a protest march in kublis (graubunden) to demand social and climate justice. the event was part of a symbolic protest march to the world economic forum in davos.",0,NA,1532,Climate,NA
